Article,Vedette,Type vedette,Candidat,INSEE,Définition,
DT11-06738,"Larnet,",lieu dit,terroir de la Cafforte,non,"
lieu dit, commune de Narbonne, au terroir de la Cafforte.",
DT11-05009,"Fontus,",ferme,terroir de la Cavayère,non,"
ferme, au terroir de la Cavayère, commune de Carcassonne.",
DT11-02549,"Carsac,","localité disparue, anc. décimaire et fief",terroir de la Cité,non,"
localité disparue, anc. décimaire et fief au terroir de la Cité, commune de Carcassonne.",
DT11-04943,"Fontestore,",lieu dit et source,terroir de la Cité,non,"
lieu dit et source, commune de Carcassonne, au terroir de la Cité.",
DT11-06375,"Juifs (Cimetière-des-),",lieu dit,terroir de la Cité,non,"
lieu dit, au terroir de la Cité, à l’ancien faubourg Saint-Michel, commune de Carcassonne.",
DT11-09868,"Pech-Vinous,",ancien fief,terroir de la Cité,non,"
ancien fief de l’évêque de Carcassonne, au terroir de la Cité, commune de Carcassonne.",
DT11-10298,"Pisse-Azès,",ancien fief,terroir de la Cité,non,"
ancien fief de l’évêque de Carcassonne, au terroir de la Cité, commune de Carcassonne.",
DT11-10553,"Porte-de-Fer (La),",ferme,terroir de la Cité,non,"
ferme, au terroir de la Cité, commune de Carcassonne.",
DT11-00190,"Amelle (L’),",ferme disparue,terroir de la Clape,non,"
ferme disparue, au terroir de la Clape, commune de Narbonne, 1576 
(comp., p. 386).",
DT11-01821,"Bruinière (La),",ferme,terroir de la Clape,non,"
ferme, commune d’Armissan, au terroir de la Clape, 1781 (c. dioc. Narb.).",
DT11-01839,"Buadelles (Les),",ferme,terroir de la Clape,non,"
ferme, commune de Fleury, au terroir de la Clape.",
DT11-01870,"Burlorum,",bergerie disparue,terroir de la Clape,non,"
bergerie disparue, au terroir de la Clape, commune de Narbonne.",
DT11-01958,"Cabrerisse (La),",bergerie disparue,terroir de la Clape,non,"
bergerie disparue au terroir de la Clape, commune de Narbonne.",
DT11-02188,"Campardou,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-02222,"Camplazens,",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape.",
DT11-02665,"Castelpezoul,",localité disparue,terroir de la Clape,non,"
localité disparue, au terroir de la Clape, commune de Narbonne.",
DT11-02729,"Caune (La),",ferme,terroir de la Clape,non,"
ferme, au terroir de la Clape, commune de Narbonne.",
DT11-03273,"Combe-de-Bête,",ferme disparue,terroir de la Clape,non,"
ferme disparue, au terroir de la Clape, commune de Gruissan, 1639 
(arch. com. Narb., Invent. Rocq., III, 56).",
DT11-03276,"Combe-de-l’Habit,",ruisseau,terroir de la Clape,non,"
ruisseau, au terroir de la Clape, faisant division entre les communes de Narbonne et de Gruissan ; se déverse directement dans la mer.",
DT11-03303,"Combelles (Les),",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-03409,"Conques,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-03587,"Coural,",ferme,terroir de la Clape,non,"
ferme, au terroir de la Clape, commune de Narbonne, 
   xviii
   e siècle (c. de Cass.).",
DT11-04025,"Douanes (Les),",écart,terroir de la Clape,non,"
écart, commune de Gruissan, au terroir de la Clape.",
DT11-04027,"Douane (Poste de),",écart,terroir de la Clape,non,"
écart, commune de Narbonne, au terroir de la Clape.",
DT11-04047,"Douvent,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-04227,"Escourjats (Les),",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-04613,"Femme-Morte (La),",lieu dit,terroir de la Clape,non,"
lieu dit au terroir de la Clape, commune de Narbonne, sect. D.",
DT11-04789,"Foncaude,",ferme,terroir de la Clape,non,"
ferme, commune de Gruissan, au terroir de la Clape, 1781 (c. dioc. Narb.).",
DT11-05014,"Fontvieille,",lieu dit,terroir de la Clape,non,"
lieu dit, commune de Narbonne, au terroir de la Clape.",
DT11-05143,"Fournil,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-05219,"Frégadou (Le),",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-05757,"Grangette (La),",ferme,terroir de la Clape,non,"
ferme, commune de Gruissan, au terroir de la Clape, 1781 (c. dioc. Narb.).",
DT11-05972,"Hespitalet (L’),",ferme,terroir de la Clape,non,"
ferme, au terroir de la Clape, commune de Narbonne.",
DT11-06145,"Issarts (Les),",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, communes de Narbonne et de Gruissan.",
DT11-06407,"Karantes (Les),",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape, commune de Narbonne.",
DT11-07386,"Malesalade,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-08324,"Montolieu,",anc. redoute et ferme,terroir de la Clape,non,"
anc. redoute et ferme, au terroir de la Clape, commune de Narbonne.",
DT11-09243,"Notre-Dame-des-Auzils,",chapelle rurale,terroir de la Clape,non,"
chapelle rurale, au terroir de la Clape, commune de Gruissan, reconstruite en 1635.",
DT11-09612,"Pause-Martin,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-09777,"Pech-Haut,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-09825,"Pech-Rascas,",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-09851,"Pech-Saint-Martin,",lieu dit,terroir de la Clape,non,"
lieu dit, commune de Fleury, au terroir de la Clape.",
DT11-10332,"Pla-de-Roques (Le),",bergerie,terroir de la Clape,non,"
bergerie, au terroir de la Clape, commune de Narbonne.",
DT11-10382,"Plan-Dugon (Le),",lieu dit,terroir de la Clape,non,"
lieu dit, au terroir de la Clape, commune de Narbonne.",
DT11-10445,"Pomarède (La),",ferme disparue,terroir de la Clape,non,"
ferme disparue, au terroir de la Clape, commune de Narbonne.",
DT11-10737,"Pradel (Le),",ancien fief,terroir de la Clape,non,"
ancien fief au terroir de la Clape, commune de Narbonne, et, par extension, commune d’Armissan, sect. A, et commune de Vinassan, sect. A.",
DT11-10939,"Quarantes (Les),",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape ; dépendait de la seigneurie de Saint-Pierre-del-Lec.",
DT11-11068,"Ramade (La),",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape.",
DT11-11190,"Rec (Le),",ferme,terroir de la Clape,non,"
ferme, au terroir de la Clape, commune de Gruissan.",
DT11-11224,"Rec-d’Ortols (Le),",ruisseau,terroir de la Clape,non,"
ruisseau, au terroir de la Clape, commune de Narbonne, 1329 
(arch. com. Narb., AA 99, f. 265).",
DT11-11794,"Rouquet,",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape.",
DT11-11811,"Rouquette-Basse (La),",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape.",
DT11-11813,"Rouquette-Haute (La),",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape.",
DT11-12116,"Sainte-Agathe,",localité disparue,terroir de la Clape,non,"
localité disparue au terroir de la Clape, commune de Narbonne.",
DT11-12212,"Sainte-Croix,",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape.",
DT11-13213,"Salles,",ferme,terroir de la Clape,non,"
ferme, au terroir de la Clape, commune de Narbonne.",
DT11-13458,"Serre-de-Douvent (La),",montagne,terroir de la Clape,non,"
montagne, au terroir de la Clape, commune de Narbonne.",
DT11-14323,"Valgloiane,",lieu dit,terroir de la Clape,non,"
lieu dit, commune de Narbonne, au terroir de la Clape.",
DT11-14792,"Vires,",ferme,terroir de la Clape,non,"
ferme, commune de Narbonne, au terroir de la Clape.",
DT11-04840,"Fontaine-du-Cheval-Mort,",fontaine,terroir de la Galaube,non,"
fontaine, au terroir de la Galaube, commune de Lacombe.",
DT11-05643,"Gourg (Le),",lieu dit,terroir de la Galaube,non,"
lieu dit, sur l’Alzau, au terroir de la Galaube, commune de Lacombe.",
DT11-00322,"Arnouze (L’),",ruisseau,terroir de la Grèze,non,"
ruisseau, affluent de l’Orbiel, au terroir de la Grèze, commune des Martys.",
DT11-03259,"Combe-Bertier,",lieu dit,terroir de la Hille,non,"
lieu dit au terroir de la Hille, commune de Fanjeaux.",
DT11-04501,"Fajole (La),",lieu dit,terroir de la Hille,non,"
lieu dit, au terroir de la Hille, commune de Fanjeaux.",
DT11-04520,"Falga (Le),",ancien moulin,terroir de la Hille,non,"
ancien moulin au terroir de la Hille, commune de Fanjeaux.",
DT11-05386,"Garnelle,",ruisseau,terroir de la Hille,non,"
ruisseau, affluent de la Preuille, au terroir de la Hille, commune de Fanjeaux.",
DT11-03264,"Combe-Crose,",lieu dit,terroir de la Hille et de la Clapade,non,"
lieu dit, au terroir de la Hille et de la Clapade, communes de Fanjeaux et de Villasavary.",
DT11-01820,"Bruguier (Le),",lieu dit,terroir de la Leigne,non,"
lieu dit, au terroir de la Leigne, commune de Narbonne.",
DT11-05006,"Font-Salée,",lieu dit,terroir de la Leigne,non,"
lieu dit, au terroir de la Leigne, commune de Narbonne.",
DT11-01703,"Bouzard,",ancien étang,terroir de la Leigne et de Moujan,non,"
ancien étang, au terroir de la Leigne et de Moujan, commune de Narbonne.",
DT11-04833,"Fontaine-de-Caxan,",source,terroir de la Loubatière,non,"
source du Lignon, terroir de la Loubatière, commune de Lacombe.",
DT11-05973,"Hespitalet (L’),",ancien hôpital,terroir de la Maillole,non,"
ancien hôpital, au terroir de la Maillole, commune de Narbonne.",
DT11-14256,"Turcy,",ferme,terroir de la Malepeyre,non,"
ferme, au terroir de la Malepeyre, commune de Montréal ; ancienne propriété de la Miséricorde de Montréal.",
DT11-09307,"Offrières,",anc. décimaire et prieuré,terroir de la Métairie-Grande,non,"
anc. décimaire et prieuré, au terroir de la Métairie-Grande, commune de Laure.",
DT11-12721,"Saint-Marcel,",ancienne église,terroir de la Mignarde,non,"
ancienne église, commune de Pépieux, au terroir de la Mignarde.",
DT11-10326,"Pla-de-l’Égue (Le),",lieu dit,terroir de la Mouline,non,"
lieu dit, au terroir de la Mouline, commune de Fourtou.",
DT11-12423,"Saint-Félix,",ancienne église,terroir de la Salvetat,non,"
ancienne église au terroir de la Salvetat, commune de Pépieux ; prieuré uni au monastère de Saint-Laurent de Narbonne.",
DT11-02875,"Cazal-de-la-Dalphine,",ferme disparue,terroir de la Tuilerie,non,"
ferme disparue, commune de Vignevieille, au terroir de la Tuilerie, 1706 
(comp., p. 105).",
DT11-10954,"Quatre-Corondes (Les),","lieu dit, ancien oratoire",terroir de Labastide-Redonde,non,"
lieu dit, ancien oratoire, au terroir de Labastide-Redonde, commune de Narbonne.",
DT11-14066,"Triby (Le),",lieu dit,terroir de Lacombe,non,"
lieu dit, commune de Labastide-Esparbairenque, au terroir de Lacombe.",
DT11-07326,"Majou,",fontaine et moulin à vent ruiné,terroir de Lapeyre,non,"
fontaine et moulin à vent ruiné, au terroir de Lapeyre, commune de Belvis.",
DT11-09540,"Pas-de-Laprade (Le),",lieu dit,terroir de Laprade-Basse,non,"
lieu dit, à la limite des communes des Martys et de Cuxac-Cabardès, au terroir de Laprade-Basse.",
DT11-02537,"Carrière (La),",ferme,terroir de las Leignes,non,"
ferme, commune de Fabrezan, au terroir de las Leignes.",
DT11-11392,"Rieu-Colombié (Le),",ruisseau et lieu dit,terroir de Lasserre,non,"
ruisseau et lieu dit, commune de Villardonnel, au terroir de Lasserre.",
DT11-01929,"Cabaret,",lieu dit,terroir de Lastours,non,"
lieu dit, au terroir de Lastours, commune d’Azille.",
DT11-02919,"Cazéla,",lieu dit,terroir de Lastours,non,"
lieu dit, au terroir de Lastours, commune d’Azille.",
DT11-04540,"Fangous,",lieu dit,terroir de Lastours,non,"
lieu dit au terroir de Lastours, commune d’Azille.",
DT11-03643,"Courtals (Les),",lieu dit,terroir de Lauzil,non,"
lieu dit, au terroir de Lauzil, commune de Laurac.",
DT11-11689,"Rosiers (Les),",lieu dit,terroir de Lauzil,non,"
lieu dit, au terroir de Lauzil, commune de Laurac.",
DT11-12213,"Sainte-Croix,",anc. décimaire et prieuré,terroir de Lavagnac,non,"
anc. décimaire et prieuré uni à l’abbaye de Saint-Michel de Cuxa, au terroir de Lavagnac, commune de Puilaurens.",
DT11-06943,"Layrole,",lieu dit,terroir de Laval des Roussés,non,"
lieu dit, au terroir de Laval des Roussés, commune de Villeneuve-la-Comptal.",
DT11-05680,"Goutine (La),",lieu dit,terroir de Lavaldieu,non,"
lieu dit, au terroir de Lavaldieu, commune de Rennes-le-Château.",
DT11-13255,"Samartres,",lieu dit,terroir de Lebrettes,non,"
lieu dit, au terroir de Lebrettes, commune de Narbonne.",
DT11-14334,"Val-Loubière,",lieu dit,terroir de Lebrettes,non,"
lieu dit, au terroir de Lebrettes, commune de Narbonne.",
DT11-10739,"Pradelle,",lieu dit,terroir de Lieuran,non,"
lieu dit, au terroir de Lieuran, ancien fief de l’abbaye de Fontfroide, commune de Cuxac-d’Aude.",
DT11-12065,"Saint-Blaise,",ancien fief,terroir de Limoux,11206,"
ancien fief du monastère de Prouille, au terroir de Limoux, 1392-1639 
(arch. com. Narb., Invent. Roq., III, 243).",
DT11-00954,"Belshoms,",ancien fief,terroir de Livière,non,"
ancien fief au terroir de Livière, commune de Narbonne.",
DT11-01978,"Cadariège (Canal de),",ruisseau,terroir de Livière,non,"
ruisseau d’écoulement au terroir de Livière, affluent du Rec-Mayral, commune de Narbonne.",
DT11-02373,"Capdebiou,",lieu dit,terroir de Livière,non,"
lieu dit, commune de Narbonne, terroir de Livière.",
DT11-03240,"Colombiès (Les),",lieu dit,terroir de Livière,non,"
lieu dit au terroir de Livière, commune de Narbonne.",
DT11-06725,"Laredorte,",ancien fief,terroir de Livière,non,"
ancien fief au terroir de Livière, commune de Narbonne.",
DT11-07494,"Mantela (Le),",lieu dit,terroir de Livière,non,"
lieu dit, au terroir de Livière, commune de Narbonne.",
DT11-13160,"Salenc (Le),",lieu dit,terroir de Livière,non,"
lieu dit, au terroir de Livière, commune de Narbonne.",
DT11-14048,"Tres-Peyros (Las),","pont, lieu dit",terroir de Livière,non,"
pont, lieu dit au terroir de Livière, commune de Narbonne, 1605 
(arch. com. Narb., BB 7, f. 144).",
DT11-01716,"Boyer,",ferme,terroir de Luguel,non,"
ferme, commune de Limoux, au terroir de Luguel.",
DT11-04522,"Falga (Le),",lieu dit,terroir de Luguel,non,"
lieu dit, commune de Limoux, au terroir de Luguel.",
DT11-09209,"Notre-Dame-de-Lierre,",ancienne église rurale,terroir de Mairac,non,"
ancienne église rurale, consacrée en 1035, aujourd’hui entièrement détruite, commune de Capendu, au terroir de Mairac ; ancien prieuré uni à la mense du chapitre de Carcassonne.",
DT11-12153,"Sainte-Catherine,",fontaine minérale,terroir de Mairac,non,"
lieu dit ; fontaine minérale au terroir de Mairac, commune de Capendu, 1766 
(comp. de Mairac, p. 28).",
DT11-02344,"Cantaussel,",lieu dit,terroir de Malvezy,non,"
lieu dit, au terroir de Malvezy, commune de Narbonne.",
DT11-08442,"Mougères (Les),",lieu dit,terroir de Malvezy,non,"
lieu dit, au terroir de Malvezy, commune de Narbonne.",
DT11-10693,"Pourcel (En-),",ancien étang,terroir de Mandirac,non,"
ancien étang au terroir de Mandirac, commune de Narbonne.",
DT11-04977,"Fontorbe,",ferme,terroir de Maquens,non,"
ferme, commune de Carcassonne, au terroir de Maquens.",
DT11-06595,"Lalleman,",ferme,terroir de Maquens,non,"
ferme, commune de Carcassonne, au terroir de Maquens.",
DT11-07166,"Loubet,",ferme,terroir de Maquens,non,"
ferme, commune de Carcassonne, au terroir de Maquens.",
DT11-12999,"Saint-Raymond,",ferme,terroir de Maquens,non,"
ferme, au terroir de Maquens, commune de Carcassonne.",
DT11-14232,"Tuilerie-de-Fages (La),",ferme,terroir de Maquens,non,"
ferme, au terroir de Maquens, commune de Carcassonne.",
DT11-14269,"Usine (L’),",ancienne manufacture,terroir de Maquens,non,"
ancienne manufacture sur l’Aude, commune de Carcassonne, au terroir de Maquens.",
DT11-14588,"Viguier (Le),",ferme,terroir de Maquens,non,"
ferme, au terroir de Maquens, commune de Carcassonne.",
DT11-03403,"Conilières (Les),",lieu dit,terroir de Marceille,non,"
lieu dit au terroir de Marceille, commune de Limoux.",
DT11-03871,"Crouzals (Les),",lieu dit,terroir de Marceille,non,"
lieu dit, au terroir de Marceille, commune de Limoux.",
DT11-04942,"Fontesses,",lieu dit,terroir de Marceille,non,"
lieu dit au terroir de Marceille, commune de Limoux.",
DT11-05550,"Genibrières,",lieu dit,terroir de Marceille,non,"
lieu dit, au terroir de Marceille, commune de Limoux, 1217-1788 
(arch. Aude, H, suppl., répert. des arch. de Prouille, III, 358).",
DT11-11644,"Roquefort,",lieu dit,terroir de Marceille,non,"
lieu dit, au terroir de Marceille, commune de Limoux, 1277-1788 
(arch. Aude, H, suppl., répert. des arch. de Prouille, III, 630).",
DT11-01876,"Busquiers (Chemin des),",lieu dit,terroir de Marmorières,non,"
lieu dit, au terroir de Marmorières, commune de Vinassan.",
DT11-09458,"Parachol,",lieu dit,terroir de Marmorières,non,"
lieu dit, au terroir de Marmorières, commune de Vinassan.",
DT11-14344,"Valmerdière,",lieu dit,terroir de Marmorières,non,"
lieu dit, au terroir de Marmorières, commune de Vinassan.",
DT11-06211,"Jasse (La),",bergerie,terroir de Marragon,non,"
bergerie, commune de Carcassonne, au terroir de Marragon.",
DT11-12047,"Saint-Benoît,",ancienne église rurale,terroir de Massafans,non,"
ancienne église rurale, non loin du confluent de l’Orbiel et du Rieutort, terroir de Massafans, commune du Mas-Cabardès.",
DT11-07082,Licune (La),"Ancien lit de fleuve transformé en lagune ou en marécage imparfaitement atterri, ou restes d’étangs intérieurs",terroir de Mattes,non,"
Ancien lit de fleuve transformé en lagune ou en marécage imparfaitement atterri, ou restes d’étangs intérieurs, commune de Sigean, au terroir de Mattes.",
DT11-14202,"Tuilerie (La),",ferme,terroir de Mattes,non,"
ferme, au terroir de Mattes, commune de Portel, 
   xviii
   e siècle (c. de Cass.).",
DT11-11233,"Rec-Mayral (Le),",ruisseau,terroir de Mayrevieille,non,"
ruisseau, au terroir de Mayrevieille, commune de Carcassonne.",
DT11-06364,"Jousive (La),",ancien fief,terroir de Mieudas,non,"
ancien fief, commune de Carcassonne, au terroir de Mieudas.",
DT11-10798,"Prat-Lézy,",ruisseau,terroir de Mieudas,non,"
ruisseau, affluent de l’Arnouze, au terroir de Mieudas, commune de Carcassonne.",
DT11-12351,"Saint-Étienne,",jardin potager,terroir de Mieudas,non,"
jardin potager, au terroir de Mieudas, route de Pennautier, commune de Carcassonne.",
DT11-13866,"Tondous,",lieu dit,terroir de Mieudas,non,"
lieu dit, au terroir de Mieudas, commune de Carcassonne ; ancien fief du chapitre de Carcassonne, 1334-xvii
   e siècle 
(arch. chap. Carc., Invent., p. 78).",
DT11-04097,"Église (L’),",lieu dit,terroir de Milhas,non,"
lieu dit, au terroir de Milhas, commune de Cumiès.",
DT11-04457,"Fabrenques (Les),",ancien fief,terroir de Miraval-Cabardès,11232,"
ancien fief du chapitre de Carcassonne, au terroir de Miraval-Cabardès.",
DT11-12207,"Sainte-Croix,",ancien prieuré,terroir de Montazels,11240,"
ancien prieuré, au terroir de Montazels, diocèse d’Alet, 1756 
(Caldaguez, p. 218).",
DT11-04157,"Erchel (L’),",ancien fief,terroir de Montirat,11248,"
ancien fief au terroir de Montirat, 1389-1587 
(bibl. Carc., ms. 9551, f. 58).",
DT11-08232,"Montclar,",lieu dit,terroir de Montlaurès,non,"
ancien fief de l’ordre de Malte, lieu dit au terroir de Montlaurès, commune de Narbonne.",
DT11-10507,"Pontignol (Le),",lieu dit,terroir de Montlaurès,non,"
lieu dit, au terroir de Montlaurès, commune de Narbonne.",
DT11-03382,"Conardis,",ferme,terroir de Montlegun,non,"
ferme, au terroir de Montlegun, commune de Carcassonne.",
DT11-08590,"Moulinasse (La),",masure,terroir de Montlegun,non,"
masure au terroir de Montlegun, commune de Carcassonne.",
DT11-09794,"Pech-Mary,",montagne,terroir de Montlegun,non,"
montagne, au terroir de Montlegun, commune de Carcassonne, 1768 
(arch. Aude, B 1167).",
DT11-01025,"Bergerie-du-Baron (La),",bergerie,terroir de Montpézat,non,"
bergerie, au terroir de Montpézat, commune de Roquefort-des-Corbières.",
DT11-02669,"Castelsec,",masure,terroir de Montpézat,non,"
masure, au terroir de Montpézat, commune de Roquefort-des-Corbières.",
DT11-06442,"Labastide-del-Porgé,",ancien fief,terroir de Montredon,non,"
ancien fief au terroir de Montredon, commune de Carcassonne, 1661 
(Mah., V, 765).",
DT11-05025,"Forge (La),",ancienne forge,terroir de Montrouch,non,"
ancienne forge, au terroir de Montrouch, commune des Martys.",
DT11-07601,"Martelar,",ferme disparue,terroir de Moujan,non,"
ferme disparue, au terroir de Moujan, commune de Narbonne.",
DT11-10068,"Peyre-Crestade,",lieu dit,terroir de Moujan,non,"
lieu dit, au terroir de Moujan, commune de Narbonne.",
DT11-10148,"Peyriès,",ruisseau,terroir de Moujan,non,"
ruisseau au terroir de Moujan, commune de Narbonne.",
DT11-12393,"Saint-Étienne-de-Valfernière,",ancienne église,terroir de Moujan,non,"
ancienne église au terroir de Moujan, commune de Narbonne.",
DT11-13482,"Serre-Mougère (La),",lieu dit,terroir de Moujan,non,"
lieu dit, au terroir de Moujan, commune de Narbonne.",
DT11-14321,"Valfernière,",lieu dit,terroir de Moujan,non,"
lieu dit, au terroir de Moujan, commune de Narbonne.",
DT11-14329,"Vallatou,",ruisseau,terroir de Moujan,non,"
ruisseau, affluent du canal Sainte-Marie, au terroir de Moujan, commune de Narbonne.",
DT11-14341,"Valmal,",lieu dit,terroir de Moujan,non,"
lieu dit, au terroir de Moujan, commune de Narbonne.",
DT11-14349,"Valocreste,",lieu dit,terroir de Moujan,non,"
lieu dit, au terroir de Moujan, commune de Narbonne.",
DT11-14472,"Vesc (Le),",lieu dit,terroir de Moujan,non,"
lieu dit, au terroir de Moujan, commune de Narbonne ; ancien fief de l’archevêque.",
DT11-00531,"Baillousti,",vallée,terroir de Moussan,11258,"
vallée de l’Aude, au terroir de Moussan.",
DT11-12329,"Sainte-Marie-Major,",lieu dit,terroir de Moussan,11258,"
lieu dit, au terroir de Moussan.",
DT11-07169,"Loucajac,",localité disparue,terroir de Névian,non,"
localité disparue, commune de Marcorignan, à la limite du terroir de Névian.",
DT11-12659,"Saint-Just,",lieu dit,terroir de Notre-Dame de Marceille,non,"
lieu dit, au terroir de Notre-Dame de Marceille, commune de Limoux.",
DT11-11691,"Rossambuau,",lieu dit,terroir de Parahou,non,"
lieu dit, au terroir de Parahou, commune de Saint-Louis-de-Parahou ; ancien fief de l’abbaye de Fontfroide.",
DT11-04784,"Fonbouillègues,",ancien fief,terroir de Payrouliès,non,"
ancien fief du chapitre d’Alet, au terroir de Payrouliès, commune d’Alet.",
DT11-05503,"Gayrotte (La),",ancien fief,terroir de Payrouliès,non,"
ancien fief du chapitre d’Alet, commune d’Alet, au terroir de Payrouliès.",
DT11-13064,"Saint-Sernin,",ancienne église champêtre,terroir de Paza,non,"
ancienne église champêtre, au terroir de Paza, commune de Duilhac.",
DT11-02200,"Camp-del-Caus,",ancien fief,terroir de Pech-Alibert,non,"
ancien fief de l’abbaye de Villelongue, au terroir de Pech-Alibert, commune de Montréal.",
DT11-14528,"Vieille-Église (La),",lieu dit,terroir de Pech-d’Acou,non,"
lieu dit, au terroir de Pech-d’Acou, commune de Saint-Julien-de-Briola.",
DT11-12831,"Saint-Michel,",ancienne église rurale,terroir de Pech-Maurèze,non,"
ancienne église rurale, au terroir de Pech-Maurèze, commune de Gruissan.",
DT11-00352,"les Brougues,",ruisseau,terroir de Pech-Salamou,non,"
ruisseau, au terroir de Pech-Salamou, commune de Donazac.",
DT11-06919,"Laval-Saint-Hilaire,",ancien fief,terroir de Pech-Salamou,non,"
ancien fief de l’abbaye de Saint-Hilaire, au terroir de Pech-Salamou, commune de Donazac, 1613 (arch. Aude, E, non invent., pl.).",
DT11-05126,"Fourmia,",lieu dit,terroir de Pechsalamou,non,"
lieu dit, au terroir de Pechsalamou, commune de Donazac, qu’il ne faut pas confondre avec Fourmia ou champ de la ville, à Donazac.",
DT11-05656,"Gourné,",lieu dit,terroir de Pechsalamou,non,"
lieu dit, commune de Donazac, au terroir de Pechsalamou ; ancien fief de l’abbaye de Saint-Hilaire.",
DT11-06977,"Lespinal,",ancien fief,terroir de Peyralbe,non,"
ancien fief de l’ordre de Malte, au terroir de Peyralbe, commune de Castelnaudary.",
DT11-14669,"Villebersas,",ancien prieuré,terroir de Prat-Naout,non,"
ancien prieuré sous le vocable de saint Asiscle et sainte Victoire, au terroir de Prat-Naout, commune de Lagrasse, uni à l’abbaye de Lagrasse par Ayméric, archevêque de Narbonne.",
DT11-06441,"Labastide-de-Godail,",ferme disparue,terroir de Preisse,non,"
ferme disparue au terroir de Preisse, commune d’Ouveillan.",
DT11-01524,"Boulbènes (Les),",lieu dit,terroir de Prouille,non,"
lieu dit au terroir de Prouille, commune de Fanjeaux.",
DT11-01915,"Cabanil (Le),",lieu dit,terroir de Prouille,non,"
lieu dit au terroir de Prouille, commune de Fanjeaux.",
DT11-03255,"Combe-Barrau,",lieu dit,terroir de Prouille,non,"
lieu dit, au terroir de Prouille, commune de Fanjeaux.",
DT11-03477,"Coste-de-Rougepeyre,",lieu dit,terroir de Prouille,non,"
lieu dit au terroir de Prouille, commune de Fanjeaux.",
DT11-05073,"Fotz (La),",lieu dit,terroir de Prouille,non,"
lieu dit, au terroir de Prouille, communes de la Force et de Fanjeaux.",
DT11-06320,"Jonquière (La),",lieu dit,terroir de Prouille,non,"
lieu dit, au terroir de Prouille, commune de Fanjeaux.",
DT11-11083,"Ramis,",lieu dit,terroir de Prouille,non,"
lieu dit, au terroir de Prouille, commune de Fanjeaux, et, par extension, commune de Villasavary.",
DT11-03608,"Cours (Les),",localité disparue,terroir de Puichéric,11301,"
localité disparue, au terroir de Puichéric ; anc. fief et prieuré sous le vocable de saint Martin, uni à l’abbaye de Lagrasse.",
DT11-09223,"Notre-Dame-de-Pitié,",ancienne église,terroir de Quillanet,non,"
ancienne église au terroir de Quillanet, commune de Bizanet.",
DT11-12645,"Saint-Julien (Le Jardin-de-),",ferme,terroir de Quillanet,non,"
ferme, au terroir de Quillanet, commune de Narbonne.",
DT11-03428,"Contrast (Le),",ancien fief,terroir de Rabes,non,"
ancien fief au terroir de Rabes, commune de Cuxac-d’Aude.",
DT11-00159,"Alfaric (L’),",lieu dit,terroir de Raonel,non,"
lieu dit, au terroir de Raonel, commune de Narbonne.",
DT11-08943,"Mourarènes,",lieu dit,terroir de Raonel,non,"
lieu dit, au terroir de Raonel et de la Barque, commune de Narbonne ; ancien fief du commandeur de Narbonne.",
DT11-02384,"Cap-de-Trège,",fief,terroir de Rascous,non,"
fief du monastère de Prouille, au terroir de Rascous, commune de Villasavary.",
DT11-02901,"Cazal-Roger,",ferme disparue,terroir de Rascous,non,"
ferme disparue, au terroir de Rascous, commune de Villasavary.",
DT11-08137,"Monestrol (Le),",lieu dit,terroir de Rascous,non,"
lieu dit au terroir de Rascous, commune de Villasavary, et, par extension, 245Cassaignecommune de la .",
DT11-09856,"Pech-Saint-Pierre,",lieu dit,terroir de Rascous,non,"
lieu dit, au terroir de Rascous, commune de Villasavary.",
